trade_date,market_type,underlying,commodity,exchange,contract_month,underlying_price,call_wall,put_wall,call_oi_wall,put_oi_wall,max_gamma_strike,gex_flip,price_wall,net_gex,total_abs_gex,total_oi,total_volume,total_amount,call_gex_total,put_gex_abs_total,gex_ratio,call_gex_share,put_gex_share,call_wall_distance,put_wall_distance,price_wall_distance,gamma_regime,iv_surface_bias,delta_bias,normalized_net_gex,assumed_dealer_gamma_ratio,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,atm_iv,call_25_delta_iv,put_25_delta_iv,option_market_value,total_time_value
2026-07-16,ETF,上证50ETF华夏,,,12月,3.007,3.0,2.8,3.0,2.8,3.0,3.1,3.0,14491502.68221443,59768698.810671,79842.0,8491.0,,37130100.74644272,22638598.064228293,1.6401236790856208,0.6212298658878211,0.3787701341121791,-0.002327901563019652,-0.06883937479215174,-0.002327901563019652,Positive Gamma,0.22705382471476554,0.1411997241399484,0.24245973177564206,0.24245973177564206,0.0502351512264381,,0.0009027025460292341,0.2545651898734177,0.1942,0.252,108367923.0,
2026-07-16,ETF,上证50ETF华夏,,,7月,3.007,3.0,3.0,3.1,3.0,3.0,3.0,3.0,366406265.9467877,1461056064.978192,785280.0,762142.0,,913731165.4624898,547324899.5157022,1.669449291035362,0.6253908986553013,0.3746091013446987,-0.002327901563019652,-0.002327901563019652,-0.002327901563019652,Positive Gamma,-0.11000470968176,0.12983048819804197,0.2507817973106027,0.2507817973106027,0.037848575723510795,,0.00034244314847247417,0.19817333333333334,0.226,0.20420000000000002,164211199.0,
2026-07-16,ETF,上证50ETF华夏,,,8月,3.007,3.1,3.0,3.1,3.0,3.1,3.1,3.1,109370760.59517817,547436297.5593822,407266.0,276222.0,,328403529.0772802,219032768.482102,1.4993351513251558,0.599893595914979,0.4001064040850211,0.030927835051546282,-0.002327901563019652,0.030927835051546282,Positive Gamma,0.18974701961888676,0.0570619230418556,0.19978719182995788,0.19978719182995788,0.051847236736494016,,-0.00035130448032283097,0.2171312101910828,0.1864,0.22760000000000002,244770576.0,
2026-07-16,ETF,上证50ETF华夏,,,9月,3.007,3.1,2.65,3.6,2.65,3.1,3.2,3.1,72740325.55614674,334352132.25632846,424167.0,546871.0,,203546228.9062376,130805903.35009089,1.556093598936918,0.6087780195467408,0.3912219804532593,0.030927835051546282,-0.1187229797140007,0.030927835051546282,Positive Gamma,0.2304475963218828,0.08844921204439163,0.21755603909348165,0.21755603909348165,0.04986828452783756,,7.354161516107457e-05,0.22391207729468596,0.1966,0.2482,289414367.0,
2026-07-16,ETF,中证500ETF南方,,,12月,7.426,8.35,7.613,9.823,7.122,8.35,8.35,7.613,19130607.51774064,93951081.66000569,78118.0,13597.0,,56540844.58887316,37410237.071132526,1.511373597589487,0.6018115341501407,0.3981884658498594,0.12442768650686764,0.025181793697818478,0.025181793697818478,Positive Gamma,0.37857071090394895,-0.056420620444019784,0.2036230683002813,0.2036230683002813,0.027978194662228485,,-0.005830813607325245,0.34947236061684456,0.2311,0.36340000000000006,493911175.0,
2026-07-16,ETF,中证500ETF南方,,,7月,7.426,8.35,7.859,8.841,7.859,8.104,8.75,7.613,37607758.23997875,1796826262.8328009,680799.0,1454789.0,,917217010.5363895,879609252.2964109,1.0427550735076914,0.5104650513569096,0.4895349486430902,0.12442768650686764,0.058308645300296336,0.025181793697818478,Positive Gamma,0.0,-0.3841920837388699,0.02093010271381944,0.02093010271381944,0.015552218974322943,,-0.0015049323162677163,0.14810116279069768,0.0001,0.0001,872142877.0,
2026-07-16,ETF,中证500ETF南方,,,8月,7.426,8.104,8.104,8.104,8.104,8.104,8.25,7.367,154205624.98661578,674732097.7116727,360450.0,403351.0,,414468861.3491442,260263236.36252847,1.5924986838011117,0.6142717424512618,0.38572825754873824,0.09130083490438978,0.09130083490438978,-0.00794505790465938,Positive Gamma,0.0,-0.01120034479863787,0.22854348490252352,0.22854348490252352,0.02926745715988412,,-0.0013183448912400635,0.15865944055944056,0.0001,0.0001,1015084906.0,
2026-07-16,ETF,中证500ETF南方,,,9月,7.426,8.841,6.631,9.578,6.385,6.631,,7.367,-96096535.15324754,466501248.39434946,405693.0,463311.0,,185202356.620551,281298891.77379847,0.6583828164153529,0.39700291747985444,0.6029970825201456,0.19054672771343917,-0.10705628871532458,-0.00794505790465938,Negative Gamma,2.260252141066401,-0.18760653200490662,-0.20599416504029128,-0.20599416504029128,0.035086303617214834,,-0.004930223415753883,0.15573483754512638,0.0001,0.3521,981586957.0,
2026-07-16,ETF,中证500ETF嘉实,,,12月,3.017,3.2,3.2,4.0,3.2,3.2,,3.1,5752774.17106889,15450966.912084829,29501.0,4536.0,,10601870.541576859,4849096.3705079695,2.1863600414413407,0.6861622707433737,0.3138377292566263,0.06065628107391463,0.06065628107391463,0.0275107722903547,Positive Gamma,0.37418120262015164,0.1316469638594935,0.37232454148674754,0.37232454148674754,0.04150291201830041,,-0.0016698947865035696,0.339675,0.23829999999999998,0.3654,50667264.0,
2026-07-16,ETF,中证500ETF嘉实,,,7月,3.017,3.3,3.2,3.5,3.3,3.3,3.4,3.1,15845954.55368331,210143096.2393852,218812.0,230660.0,,112994525.39653425,97148570.84285094,1.1631105266521726,0.5377027721520585,0.4622972278479414,0.09380178985747434,0.06065628107391463,0.0275107722903547,Positive Gamma,0.06118593086352584,-0.3463262454686152,0.07540554430411708,0.07540554430411708,0.011658216892365332,,-0.0012055343988385764,0.30072272727272725,0.3079,0.32630000000000003,126191339.0,
2026-07-16,ETF,中证500ETF嘉实,,,8月,3.017,3.3,3.2,3.3,3.2,3.3,3.3,3.1,16268617.978054961,52171482.81838134,66759.0,40635.0,,34220050.39821816,17951432.420163196,1.906257372519305,0.6559148513632349,0.3440851486367654,0.09380178985747434,0.06065628107391463,0.0275107722903547,Positive Gamma,0.14082728133880637,0.02158166262710186,0.3118297027264693,0.3118297027264693,0.02816388163930601,,-0.0010036882948579497,0.3167,0.3066,0.35119999999999996,77611745.0,
2026-07-16,ETF,中证500ETF嘉实,,,9月,3.017,3.3,2.8,3.9,2.8,2.8,3.9,3.1,3778388.7450874625,53891018.807048075,101512.0,35532.0,,28834703.776067767,25056315.030980304,1.1507958668469709,0.5350558296050743,0.4649441703949257,0.09380178985747434,-0.07192575406032486,0.0275107722903547,Positive Gamma,0.20623422531726104,-0.0242315056344253,0.07011165921014852,0.07011165921014852,0.03338849018295885,,-0.0025787815798052173,0.31856981981981985,0.2907,0.3564,112935505.0,
2026-07-16,ETF,创业板ETF易方达,,,12月,3.477,3.9,3.2,4.5,3.2,3.2,4.1,3.5,5975895.40999389,31674840.77499417,73236.0,15102.0,,18825368.09249403,12849472.682500139,1.4650693112202604,0.5943318934488786,0.4056681065511214,0.12165660051768779,-0.07966637906241003,0.00661489790048897,Positive Gamma,0.2283399821066598,0.06188466438891318,0.18866378689775717,0.18866378689775717,0.02899635332671754,,-0.003746210145891183,0.46859949367088594,0.3653,0.47229999999999994,219365964.0,
