trade_date,market_type,underlying,contract_month,underlying_price,gamma_regime,price_wall,call_wall,put_wall,price_wall_distance,front_month_concentration,expiry_structure_state,put_skew,risk_reversal_25d,iv_surface_state,wall_lifecycle_state,iv_surface_bias,delta_bias,normalized_net_gex,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,market_structure_state,state_confidence
2026-07-31,ETF,上证50ETF华夏,12月,3.033,Positive Gamma,3.0,3.0,2.7,-0.010880316518298683,0.7093827050961152,low_expiry_influence,0.11280000000000001,-0.07140000000000002,front_iv_inversion,new_wall,0.30428875236294906,0.18857954061400956,0.2764343259587238,0.05656642672593317,0.006494266627729178,0.0038470685945439145,mixed_or_unclear_structure,1.0
2026-07-31,ETF,上证50ETF华夏,3月,3.033,Positive Gamma,3.1,3.1,2.85,0.02209033959775808,0.7093827050961152,low_expiry_influence,0.1312,-0.0834,put_skew_elevated,new_wall,0.367684338146148,0.11984089152907675,0.22404318915277635,0.0682467527244943,0.0032838648263635475,0.00047967185426468805,mixed_or_unclear_structure,1.0
2026-07-31,ETF,上证50ETF华夏,8月,3.033,Positive Gamma,3.1,3.1,3.0,0.02209033959775808,0.7093827050961152,front_month_concentrated,0.059599999999999986,-0.0446,put_skew_elevated,new_wall,0.24414276330194878,0.2734678406424296,0.32939673360464405,0.05395805124906637,0.03707061411565444,0.003876787190431182,mixed_or_unclear_structure,1.0
2026-07-31,ETF,上证50ETF华夏,9月,3.033,Positive Gamma,3.0,3.1,3.0,-0.010880316518298683,0.7093827050961152,normal_expiry_structure,0.08380000000000001,-0.04990000000000003,front_iv_inversion,new_wall,0.26573835610458785,0.1397476784530278,0.23461588787326854,0.0506253265519207,0.019851683871871976,0.0013795481323551368,mixed_or_unclear_structure,1.0
2026-07-31,ETF,中证500ETF南方,12月,7.5,Positive Gamma,7.613,7.613,7.122,0.015066666666666784,0.681914356332075,low_expiry_influence,-0.1857,0.2252,front_iv_inversion,new_wall,-0.8389680543913569,-0.09324061756425787,0.24912268975238258,0.029025151396142094,0.0060033066452527374,-0.006102650913539982,mixed_or_unclear_structure,1.0
2026-07-31,ETF,中证500ETF南方,3月,7.5,Positive Gamma,7.75,8.75,6.5,0.03333333333333344,0.681914356332075,low_expiry_influence,0.21889999999999998,-0.1602,put_skew_elevated,new_wall,0.44534019042324,0.31346275743159746,0.38461489963139034,0.03213051808235582,0.003738050706280159,0.003076668206391574,mixed_or_unclear_structure,1.0
2026-07-31,ETF,中证500ETF南方,8月,7.5,Positive Gamma,7.5,7.75,7.5,0.0,0.681914356332075,front_month_concentrated,0.09179999999999999,-0.08700000000000002,front_iv_inversion,new_wall,0.26385624383956335,-0.14242899714708487,0.1172211695467391,0.025624681628511004,0.0325065999104118,-0.0018809607944490075,mixed_or_unclear_structure,1.0
2026-07-31,ETF,中证500ETF南方,9月,7.5,Negative Gamma,7.5,7.5,6.631,0.0,0.681914356332075,normal_expiry_structure,0.1033,-0.08310000000000001,front_iv_inversion,new_wall,0.2626337806083533,-0.318355326959143,-0.15973897155511635,0.032808314114314466,0.018150601809300202,-0.0056804743316047545,negative_gamma_risk_expansion,1.0
2026-07-31,ETF,中证500ETF嘉实,12月,3.047,Positive Gamma,3.0,3.0,2.9,-0.015425008204791646,0.5341705999795867,normal_expiry_structure,0.17770000000000002,-0.11499999999999999,front_iv_inversion,new_wall,0.3553160081018915,0.1124805024543158,0.3167105435149953,0.03343893326770868,0.005496769005678189,-0.0014734025649736008,mixed_or_unclear_structure,1.0
2026-07-31,ETF,中证500ETF嘉实,3月,3.047,Positive Gamma,3.1,3.1,3.1,0.01739415818838208,0.5341705999795867,low_expiry_influence,0.22050000000000003,-0.1566,put_skew_elevated,new_wall,0.4639999999999999,0.2020028444814758,0.4183009499651501,0.035386898991991045,0.003224187068524605,0.0004379701399489523,mixed_or_unclear_structure,1.0
