trade_date,underlying,contract_month,underlying_price,gamma_regime,call_wall,put_wall,price_wall,gex_flip,call_wall_distance,put_wall_distance,price_wall_distance,gamma_flip_distance,nearest_wall,nearest_wall_value,nearest_wall_distance,spot_position_band,upside_room_to_call_wall,downside_room_to_put_wall,spot_position_comment
2026-08-28,上证50ETF华夏,10月,3.037,Positive Gamma,3.2,3.0,3.0,3.2,0.05367138623641754,-0.012183075403358501,-0.012183075403358501,0.05367138623641754,put_wall,3.0,-0.012183075403358501,between_put_wall_and_call_wall,0.05367138623641754,-0.012183075403358501,现价距离最近关键位 put_wall 约 -1.22%，该关键位在现价下方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-28,上证50ETF华夏,12月,3.037,Positive Gamma,3.0,2.7,3.0,3.0,-0.012183075403358501,-0.11096476786302267,-0.012183075403358501,-0.012183075403358501,call_wall,3.0,-0.012183075403358501,above_all_key_levels_last_price_wall,-0.012183075403358501,-0.11096476786302267,现价距离最近关键位 call_wall 约 -1.22%，该关键位在现价下方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-28,上证50ETF华夏,3月,3.037,Positive Gamma,3.1,2.8,3.1,3.1,0.02074415541652952,-0.07803753704313465,0.02074415541652952,0.02074415541652952,call_wall,3.1,0.02074415541652952,between_put_wall_and_call_wall,0.02074415541652952,-0.07803753704313465,现价距离最近关键位 call_wall 约 2.07%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-28,上证50ETF华夏,9月,3.037,Positive Gamma,3.1,3.0,3.0,3.1,0.02074415541652952,-0.012183075403358501,-0.012183075403358501,0.02074415541652952,put_wall,3.0,-0.012183075403358501,between_put_wall_and_call_wall,0.02074415541652952,-0.012183075403358501,现价距离最近关键位 put_wall 约 -1.22%，该关键位在现价下方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-28,中证500ETF南方,10月,7.923,Positive Gamma,8.0,7.75,8.0,8.75,0.00971854095670821,-0.02183516344818881,0.00971854095670821,0.10437965417139972,call_wall,8.0,0.00971854095670821,between_put_wall_and_call_wall,0.00971854095670821,-0.02183516344818881,现价距离最近关键位 call_wall 约 0.97%，该关键位在现价上方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-28,中证500ETF南方,12月,7.923,Positive Gamma,8.25,7.25,8.0,8.25,0.04127224536160545,-0.08494257225798307,0.00971854095670821,0.04127224536160545,price_wall,8.0,0.00971854095670821,between_put_wall_and_price_wall,0.04127224536160545,-0.08494257225798307,现价距离最近关键位 price_wall 约 0.97%，该关键位在现价上方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-28,中证500ETF南方,3月,7.923,Positive Gamma,8.0,7.75,8.0,6.5,0.00971854095670821,-0.02183516344818881,0.00971854095670821,-0.17960368547267447,call_wall,8.0,0.00971854095670821,between_put_wall_and_call_wall,0.00971854095670821,-0.02183516344818881,现价距离最近关键位 call_wall 约 0.97%，该关键位在现价上方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-28,中证500ETF南方,9月,7.923,Positive Gamma,8.0,7.75,8.0,8.25,0.00971854095670821,-0.02183516344818881,0.00971854095670821,0.04127224536160545,call_wall,8.0,0.00971854095670821,between_put_wall_and_call_wall,0.00971854095670821,-0.02183516344818881,现价距离最近关键位 call_wall 约 0.97%，该关键位在现价上方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-28,中证500ETF嘉实,10月,3.214,Positive Gamma,3.3,3.2,3.2,3.3,0.026757934038581066,-0.00435594275046669,-0.00435594275046669,0.026757934038581066,put_wall,3.2,-0.00435594275046669,between_put_wall_and_call_wall,0.026757934038581066,-0.00435594275046669,现价距离最近关键位 put_wall 约 -0.44%，该关键位在现价下方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-28,中证500ETF嘉实,12月,3.214,Positive Gamma,3.1,2.85,3.2,3.1,-0.03546981953951456,-0.11325451151213439,-0.00435594275046669,-0.03546981953951456,price_wall,3.2,-0.00435594275046669,above_all_key_levels_last_price_wall,-0.03546981953951456,-0.11325451151213439,现价距离最近关键位 price_wall 约 -0.44%，该关键位在现价下方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
