trade_date,market_type,underlying,contract_month,wall_first_seen,wall_age,wall_persistence,wall_strength_change,wall_migration_speed,wall_break_count,wall_recovery_count,wall_lifecycle_state
2026-08-12,COMMODITY,AP,2610,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,AP,2611,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,AP,2612,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,AP,2701,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,AP,2703,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,CF,2609,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,CF,2611,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,CF,2701,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,CF,2703,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,CF,2705,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,CJ,2612,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,CJ,2701,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,CJ,2703,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,CJ,2705,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,FG,2609,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,FG,2610,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,FG,2611,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,FG,2612,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,FG,2701,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,FG,2703,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,FG,2705,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,MA,2609,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,MA,2610,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,MA,2611,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,MA,2612,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,MA,2701,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,MA,2703,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,MA,2705,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,OI,2609,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,OI,2611,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,OI,2701,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,OI,2703,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,OI,2705,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,PF,2609,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,PF,2610,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,PF,2611,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,PF,2612,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,PK,2610,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,PK,2611,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,PK,2612,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,PK,2701,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,PL,2609,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,PL,2610,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,PL,2611,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,PR,2609,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,PR,2610,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,PR,2611,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,PR,2612,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,PX,2610,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,PX,2611,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,PX,2612,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,PX,2701,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,RM,2609,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,RM,2611,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,RM,2701,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,RM,2703,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,RM,2705,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,RM,2707,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SA,2609,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SA,2610,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SA,2611,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SA,2612,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SA,2701,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SA,2703,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SA,2705,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SF,2609,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SF,2610,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SF,2611,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SF,2612,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SF,2701,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SH,2609,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SH,2610,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SH,2611,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SH,2612,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SH,2701,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SM,2609,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SM,2610,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SM,2611,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SM,2612,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SM,2701,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SM,2705,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SR,2609,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SR,2611,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SR,2701,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SR,2703,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,SR,2705,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,TA,2609,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,TA,2610,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,TA,2611,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,TA,2612,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,TA,2701,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,TA,2703,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,TA,2705,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,UR,2609,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,UR,2610,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,UR,2611,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,UR,2612,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,UR,2701,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,UR,2703,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,ZC,2609,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,ZC,2610,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,a,2609,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,a,2611,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,a,2701,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,a,2703,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,a,2705,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,a,2707,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,ad,2609,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,ad,2610,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,ag,2609,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,ag,2610,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,ag,2612,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,ag,2702,2026-08-12,1,0.0,,,0.0,0.0,new_wall
2026-08-12,COMMODITY,al,2609,2026-08-12,1,0.0,,,0.0,0.0,new_wall
