trade_date,market_type,underlying,commodity,exchange,contract_month,underlying_price,gamma_regime,call_wall,put_wall,call_oi_wall,put_oi_wall,price_wall,max_gamma_strike,gex_flip,net_gex,total_abs_gex,call_wall_distance,put_wall_distance,price_wall_distance,price_wall_position,nearest_wall_side
2026-08-28,ETF,上证50ETF华夏,,,10月,3.037,Positive Gamma,3.2,3.0,3.2,3.0,3.0,3.0,3.2,12722346.171606306,69769606.73320329,0.05367138623641754,-0.012183075403358501,-0.012183075403358501,below_spot,put_wall_closer
2026-08-28,ETF,上证50ETF华夏,,,12月,3.037,Positive Gamma,3.0,2.7,3.5,2.7,3.0,3.0,3.0,68450240.6912293,181267089.27414423,-0.012183075403358501,-0.11096476786302267,-0.012183075403358501,below_spot,call_wall_closer
2026-08-28,ETF,上证50ETF华夏,,,3月,3.037,Positive Gamma,3.1,2.8,3.5,2.8,3.1,3.1,3.1,7429564.01694249,19759674.33921041,0.02074415541652952,-0.07803753704313465,0.02074415541652952,above_spot,call_wall_closer
2026-08-28,ETF,上证50ETF华夏,,,9月,3.037,Positive Gamma,3.1,3.0,3.1,3.0,3.0,3.0,3.1,336706224.3248397,1449337612.2943358,0.02074415541652952,-0.012183075403358501,-0.012183075403358501,below_spot,put_wall_closer
2026-08-28,ETF,中证500ETF南方,,,10月,7.923,Positive Gamma,8.0,7.75,8.0,7.75,8.0,8.0,8.75,2392043.8785560112,40291561.20494007,0.00971854095670821,-0.02183516344818881,0.00971854095670821,above_spot,call_wall_closer
2026-08-28,ETF,中证500ETF南方,,,12月,7.923,Positive Gamma,8.25,7.25,9.823,6.25,8.0,8.0,8.25,99646123.9855096,320535656.8564353,0.04127224536160545,-0.08494257225798307,0.00971854095670821,above_spot,call_wall_closer
2026-08-28,ETF,中证500ETF南方,,,3月,7.923,Positive Gamma,8.0,7.75,6.75,6.25,8.0,8.0,6.5,28771907.45032143,76881781.35103527,0.00971854095670821,-0.02183516344818881,0.00971854095670821,above_spot,call_wall_closer
2026-08-28,ETF,中证500ETF南方,,,9月,7.923,Positive Gamma,8.0,7.75,8.0,6.631,8.0,8.0,8.25,290748236.0967629,2272574614.0725203,0.00971854095670821,-0.02183516344818881,0.00971854095670821,above_spot,call_wall_closer
2026-08-28,ETF,中证500ETF嘉实,,,10月,3.214,Positive Gamma,3.3,3.2,3.3,3.2,3.2,3.3,3.3,2042064.6257866803,6132538.231467321,0.026757934038581066,-0.00435594275046669,-0.00435594275046669,below_spot,put_wall_closer
2026-08-28,ETF,中证500ETF嘉实,,,12月,3.214,Positive Gamma,3.1,2.85,4.1,2.85,3.2,3.1,3.1,16235035.23102616,46623674.11143785,-0.03546981953951456,-0.11325451151213439,-0.00435594275046669,below_spot,call_wall_closer
