trade_date,market_type,underlying,contract_month,underlying_price,gamma_regime,price_wall,call_wall,put_wall,price_wall_distance,front_month_concentration,expiry_structure_state,primary_month,expiring_month,primary_selection_reason,primary_selection_confidence,is_primary_analysis_month,is_expiring_microstructure,analysis_month_role,put_skew,risk_reversal_25d,iv_surface_state,primary_iv_surface_state,wall_lifecycle_state,iv_surface_bias,delta_bias,normalized_net_gex,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,market_structure_state,state_confidence
2026-09-08,ETF,上证50ETF华夏,10月,3.017,Positive Gamma,3.0,3.0,3.0,-0.005634736493205117,0.7789703051823038,normal_expiry_structure,9月,,front_month_default,medium,False,False,next_month,0.0746,-0.056900000000000006,front_iv_inversion,front_iv_inversion,new_wall,0.3810518022454206,0.06952645530014873,0.152423436485855,0.0724292888357774,0.018135768350816737,0.0007206685710571673,mixed_or_unclear_structure,1.0
2026-09-08,ETF,上证50ETF华夏,12月,3.017,Positive Gamma,3.0,3.0,2.7,-0.005634736493205117,0.7789703051823038,normal_expiry_structure,9月,,front_month_default,medium,False,False,other_month,0.12500000000000003,-0.08570000000000003,front_iv_inversion,front_iv_inversion,new_wall,0.3969823794898416,0.15458549428164434,0.35149297025625964,0.05416372767216888,0.009135672786404314,0.0022713498013178,mixed_or_unclear_structure,1.0
2026-09-08,ETF,上证50ETF华夏,3月,3.017,Positive Gamma,3.1,3.1,2.8,0.0275107722903547,0.7789703051823038,low_expiry_influence,9月,,front_month_default,medium,False,False,far_month,0.1486,-0.09440000000000001,put_skew_elevated,front_iv_inversion,new_wall,0.4107077084327283,0.2377570208823217,0.3638597956774077,0.07404504253173216,0.0047671575987402355,0.008364731214855224,mixed_or_unclear_structure,1.0
2026-09-08,ETF,上证50ETF华夏,9月,3.017,Positive Gamma,3.0,3.0,3.0,-0.005634736493205117,0.7789703051823038,front_month_concentrated,9月,,front_month_default,medium,True,False,primary_analysis,0.034399999999999986,-0.015499999999999986,front_iv_inversion,front_iv_inversion,new_wall,0.10451948937753346,0.2042168728401756,0.20035108409574828,0.043018039771912486,0.06722723004621063,0.0026214559078256536,wall_compression,1.0
2026-09-08,ETF,中证500ETF南方,10月,7.788,Positive Gamma,8.0,8.0,6.75,0.027221366204416952,0.8214388117876598,low_expiry_influence,9月,,front_month_default,medium,False,False,next_month,0.0,0.0,front_iv_inversion,front_iv_inversion,new_wall,0.0,0.185314330459214,0.07818183919359924,0.05568464949343038,0.03330257316526363,0.0014876358068187051,mixed_or_unclear_structure,1.0
2026-09-08,ETF,中证500ETF南方,12月,7.788,Positive Gamma,8.0,8.0,6.5,0.027221366204416952,0.8214388117876598,normal_expiry_structure,9月,,front_month_default,medium,False,False,other_month,0.16949999999999998,-0.12969999999999995,front_iv_inversion,front_iv_inversion,new_wall,0.48490513132068397,0.05110979879721845,0.26109970011895167,0.03475883650876748,0.00935334823424486,-0.0020003436042643798,mixed_or_unclear_structure,1.0
2026-09-08,ETF,中证500ETF南方,3月,7.788,Positive Gamma,7.75,7.75,7.75,-0.004879301489471022,0.8214388117876598,low_expiry_influence,9月,,front_month_default,medium,False,False,far_month,0.23429999999999998,-0.18019999999999997,put_skew_elevated,front_iv_inversion,new_wall,0.5336938380615787,0.2984807004500757,0.3726918279595947,0.029050271925024258,0.004154246201213636,0.002668964016943852,mixed_or_unclear_structure,1.0
2026-09-08,ETF,中证500ETF南方,9月,7.788,Positive Gamma,7.75,8.0,7.75,-0.004879301489471022,0.8214388117876598,front_month_concentrated,9月,,front_month_default,medium,True,False,primary_analysis,0.07840000000000003,-0.07640000000000002,front_iv_inversion,front_iv_inversion,new_wall,0.30067731566769124,-0.06765210153732049,0.07672589734359807,0.028635165959417966,0.06100552457617451,-0.0009661785615565162,mixed_or_unclear_structure,1.0
2026-09-08,ETF,中证500ETF嘉实,10月,3.162,Positive Gamma,3.1,3.2,2.9,-0.019607843137254832,0.6773676061574393,low_expiry_influence,9月,,front_month_default,medium,False,False,next_month,0.12059999999999998,-0.10289999999999999,front_iv_inversion,front_iv_inversion,new_wall,0.3571971381447477,0.026740199034334233,0.08847386608892704,0.04523046110772271,0.01777161256021438,-0.0010372570985939455,mixed_or_unclear_structure,1.0
2026-09-08,ETF,中证500ETF嘉实,12月,3.162,Positive Gamma,3.1,4.1,3.0,-0.019607843137254832,0.6773676061574393,normal_expiry_structure,9月,,front_month_default,medium,False,False,other_month,0.16519999999999999,-0.12949999999999998,front_iv_inversion,front_iv_inversion,new_wall,0.40321311256923764,0.2538949908013819,0.44537211978883223,0.04840455858406815,0.01005340730960399,0.0037291656362827045,mixed_or_unclear_structure,1.0
2026-09-08,ETF,中证500ETF嘉实,3月,3.162,Positive Gamma,3.1,3.1,3.1,-0.019607843137254832,0.6773676061574393,low_expiry_influence,9月,,front_month_default,medium,False,False,far_month,0.20570000000000002,-0.17080000000000004,put_skew_elevated,front_iv_inversion,new_wall,0.4889262677077869,0.19821843040582415,0.31643348763454926,0.054428370774660784,0.004068653133612664,0.00037514568754682705,mixed_or_unclear_structure,1.0
2026-09-08,ETF,中证500ETF嘉实,9月,3.162,Positive Gamma,3.2,3.3,3.2,0.012017710309930596,0.6773676061574393,front_month_concentrated,9月,,front_month_default,medium,True,False,primary_analysis,0.08729999999999999,-0.08849999999999997,front_iv_inversion,front_iv_inversion,new_wall,0.33880266754461846,-0.003788360039489972,0.1325348114574648,0.029595834290654075,0.07212048278540954,-0.0008233490144379045,mixed_or_unclear_structure,1.0
2026-09-08,ETF,创业板ETF易方达,10月,3.376,Positive Gamma,3.4,3.4,3.4,0.007109004739336511,0.8207739906965065,low_expiry_influence,9月,,front_month_default,medium,False,False,next_month,0.07879999999999998,-0.06869999999999998,front_iv_inversion,put_skew_elevated,new_wall,0.20644525115368811,0.0021407106644186664,0.13092822597943135,0.03658490493842192,0.016638487279136457,-0.0013789904670522895,mixed_or_unclear_structure,1.0
2026-09-08,ETF,创业板ETF易方达,12月,3.376,Positive Gamma,3.5,3.5,2.95,0.03672985781990534,0.8207739906965065,low_expiry_influence,9月,,front_month_default,medium,False,False,other_month,0.11099999999999999,-0.08659999999999995,front_iv_inversion,put_skew_elevated,new_wall,0.24497639392875248,-0.060073270160733036,0.17291252876465896,0.03604853171652413,0.00880753718579061,-0.00422139042428367,mixed_or_unclear_structure,1.0
2026-09-08,ETF,创业板ETF易方达,3月,3.376,Positive Gamma,3.5,4.0,2.95,0.03672985781990534,0.8207739906965065,low_expiry_influence,9月,,front_month_default,medium,False,False,far_month,0.1386,-0.11099999999999999,put_skew_elevated,put_skew_elevated,new_wall,0.3122362869198312,0.07408668253609946,0.1559116097344401,0.03677267805876936,0.0037620146622497855,-0.003783845332601624,mixed_or_unclear_structure,1.0
2026-09-08,ETF,创业板ETF易方达,9月,3.376,Positive Gamma,3.4,3.5,3.3,0.007109004739336511,0.8207739906965065,front_month_concentrated,9月,,front_month_default,medium,True,False,primary_analysis,0.054800000000000015,-0.056900000000000006,put_skew_elevated,put_skew_elevated,new_wall,0.16994187043356582,-0.12606091096711386,0.07459031607980422,0.02115490391964594,0.06133413746611897,-0.0011348262628224366,mixed_or_unclear_structure,1.0
2026-09-08,ETF,沪深300ETF华泰柏瑞,10月,4.624,Positive Gamma,4.7,4.7,4.6,0.016435986159169635,0.7832296012606883,low_expiry_influence,9月,,front_month_default,medium,False,False,next_month,-0.11739999999999999,0.1353,front_iv_inversion,front_iv_inversion,new_wall,-4.157412551731959,-0.004054514994336129,0.2902738810428415,0.08043435438918473,0.021462795784734895,-0.001909275573646535,mixed_or_unclear_structure,1.0
2026-09-08,ETF,沪深300ETF华泰柏瑞,12月,4.624,Positive Gamma,4.8,5.0,4.3,0.03806228373702436,0.7832296012606883,normal_expiry_structure,9月,,front_month_default,medium,False,False,other_month,0.11989999999999998,-0.08069999999999997,front_iv_inversion,front_iv_inversion,new_wall,0.36911426356071125,0.0316534541758999,0.3200034294387096,0.05016595888897099,0.009072629471890149,-0.0020523870184886934,mixed_or_unclear_structure,1.0
2026-09-08,ETF,沪深300ETF华泰柏瑞,3月,4.624,Positive Gamma,4.7,4.7,4.2,0.016435986159169635,0.7832296012606883,low_expiry_influence,9月,,front_month_default,medium,False,False,far_month,0.1624,-0.11780000000000002,put_skew_elevated,front_iv_inversion,new_wall,0.4840973538554857,0.24512192990137827,0.41739962493985705,0.058172418530500654,0.004024953812588507,0.006846381815788547,mixed_or_unclear_structure,1.0
2026-09-08,ETF,沪深300ETF华泰柏瑞,9月,4.624,Positive Gamma,4.7,4.7,4.6,0.016435986159169635,0.7832296012606883,front_month_concentrated,9月,,front_month_default,medium,True,False,primary_analysis,0.04799999999999999,-0.04889999999999997,front_iv_inversion,front_iv_inversion,new_wall,0.29869591957124725,-0.05019332462073165,0.17054800879088478,0.03474998311679518,0.0628289826561676,-0.0008396402727757555,wall_compression,1.0
2026-09-08,ETF,沪深300ETF嘉实,10月,4.828,Positive Gamma,4.9,5.0,4.6,0.014913007456503813,0.7560443780562391,low_expiry_influence,9月,,front_month_default,medium,False,False,next_month,0.0765,-0.06040000000000001,front_iv_inversion,front_iv_inversion,new_wall,0.3612104306664977,0.06235558811618856,0.1738598228662519,0.06947195896969492,0.018944844012491916,0.00017476258895355307,mixed_or_unclear_structure,1.0
