trade_date,underlying,contract_month,underlying_price,gamma_regime,call_wall,put_wall,price_wall,gex_flip,call_wall_distance,put_wall_distance,price_wall_distance,gamma_flip_distance,nearest_wall,nearest_wall_value,nearest_wall_distance,spot_position_band,upside_room_to_call_wall,downside_room_to_put_wall,spot_position_comment
2026-09-15,上证50ETF华夏,10月,2.958,Positive Gamma,3.0,3.0,3.0,3.0,0.014198782961460488,0.014198782961460488,0.014198782961460488,0.014198782961460488,call_wall,3.0,0.014198782961460488,below_all_key_levels_next_call_wall,0.014198782961460488,0.014198782961460488,现价距离最近关键位 call_wall 约 1.42%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-09-15,上证50ETF华夏,12月,2.958,Positive Gamma,3.0,2.7,3.0,3.0,0.014198782961460488,-0.08722109533468558,0.014198782961460488,0.014198782961460488,call_wall,3.0,0.014198782961460488,between_put_wall_and_call_wall,0.014198782961460488,-0.08722109533468558,现价距离最近关键位 call_wall 约 1.42%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-09-15,上证50ETF华夏,3月,2.958,Positive Gamma,3.0,2.8,3.0,3.0,0.014198782961460488,-0.053414469235970374,0.014198782961460488,0.014198782961460488,call_wall,3.0,0.014198782961460488,between_put_wall_and_call_wall,0.014198782961460488,-0.053414469235970374,现价距离最近关键位 call_wall 约 1.42%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-09-15,上证50ETF华夏,9月,2.958,Positive Gamma,3.0,3.0,3.0,3.1,0.014198782961460488,0.014198782961460488,0.014198782961460488,0.04800540906017581,call_wall,3.0,0.014198782961460488,below_all_key_levels_next_call_wall,0.014198782961460488,0.014198782961460488,现价距离最近关键位 call_wall 约 1.42%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-09-15,中证500ETF南方,10月,7.588,Positive Gamma,8.0,6.75,7.5,8.75,0.054296257248286794,-0.11043753294675807,-0.011597258829731172,0.1531365313653137,price_wall,7.5,-0.011597258829731172,between_price_wall_and_call_wall,0.054296257248286794,-0.11043753294675807,现价距离最近关键位 price_wall 约 -1.16%，该关键位在现价下方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-09-15,中证500ETF南方,12月,7.588,Positive Gamma,8.0,6.5,7.75,8.5,0.054296257248286794,-0.143384290985767,0.021349499209277756,0.12018977332630465,price_wall,7.75,0.021349499209277756,between_put_wall_and_price_wall,0.054296257248286794,-0.143384290985767,现价距离最近关键位 price_wall 约 2.13%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-09-15,中证500ETF南方,3月,7.588,Positive Gamma,8.0,7.75,7.75,6.5,0.054296257248286794,0.021349499209277756,0.021349499209277756,-0.143384290985767,put_wall,7.75,0.021349499209277756,between_gex_flip_and_price_wall,0.054296257248286794,0.021349499209277756,现价距离最近关键位 put_wall 约 2.13%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-09-15,中证500ETF南方,9月,7.588,Negative Gamma,7.75,7.5,7.75,,0.021349499209277756,-0.011597258829731172,0.021349499209277756,,put_wall,7.5,-0.011597258829731172,between_put_wall_and_call_wall,0.021349499209277756,-0.011597258829731172,现价距离最近关键位 put_wall 约 -1.16%，该关键位在现价下方。 当前为 Negative Gamma，若脱离关键位，波动放大风险更高。
2026-09-15,中证500ETF嘉实,10月,3.079,Positive Gamma,3.1,2.9,3.1,3.3,0.006820396232543047,-0.05813575836310503,0.006820396232543047,0.0717765508281909,call_wall,3.1,0.006820396232543047,between_put_wall_and_call_wall,0.006820396232543047,-0.05813575836310503,现价距离最近关键位 call_wall 约 0.68%，该关键位在现价上方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-09-15,中证500ETF嘉实,12月,3.079,Positive Gamma,3.1,2.8,3.0,3.0,0.006820396232543047,-0.09061383566092895,-0.02565768106528099,-0.02565768106528099,call_wall,3.1,0.006820396232543047,between_price_wall_and_call_wall,0.006820396232543047,-0.09061383566092895,现价距离最近关键位 call_wall 约 0.68%，该关键位在现价上方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-09-15,中证500ETF嘉实,3月,3.079,Positive Gamma,3.1,3.1,3.0,3.0,0.006820396232543047,0.006820396232543047,-0.02565768106528099,-0.02565768106528099,call_wall,3.1,0.006820396232543047,between_price_wall_and_call_wall,0.006820396232543047,0.006820396232543047,现价距离最近关键位 call_wall 约 0.68%，该关键位在现价上方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-09-15,中证500ETF嘉实,9月,3.079,Negative Gamma,3.1,3.1,3.1,,0.006820396232543047,0.006820396232543047,0.006820396232543047,,call_wall,3.1,0.006820396232543047,below_all_key_levels_next_call_wall,0.006820396232543047,0.006820396232543047,现价距离最近关键位 call_wall 约 0.68%，该关键位在现价上方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Negative Gamma，若脱离关键位，波动放大风险更高。
2026-09-15,创业板ETF易方达,10月,3.268,Positive Gamma,3.4,3.3,3.3,3.7,0.04039167686658507,0.009791921664626724,0.009791921664626724,0.13219094247246033,put_wall,3.3,0.009791921664626724,below_all_key_levels_next_price_wall,0.04039167686658507,0.009791921664626724,现价距离最近关键位 put_wall 约 0.98%，该关键位在现价上方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-09-15,创业板ETF易方达,12月,3.268,Positive Gamma,3.5,2.95,3.3,4.5,0.07099143206854341,-0.0973072215422276,0.009791921664626724,0.3769889840881273,price_wall,3.3,0.009791921664626724,between_put_wall_and_price_wall,0.07099143206854341,-0.0973072215422276,现价距离最近关键位 price_wall 约 0.98%，该关键位在现价上方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-09-15,创业板ETF易方达,3月,3.268,Positive Gamma,4.0,2.95,3.4,3.7,0.22399020807833536,-0.0973072215422276,0.04039167686658507,0.13219094247246033,price_wall,3.4,0.04039167686658507,between_put_wall_and_price_wall,0.22399020807833536,-0.0973072215422276,现价距离最近关键位 price_wall 约 4.04%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
